reservation_id,guest_name,room_number,event_time,sim_time,staff_id,action,staff_flagged_anomalous,in_attack_window,Enriched_TTP,Threat_Context
R1074,Amy Silva,346,2026-08-01 08:50:26,31826,U0014,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1075,Sarah Moore,184,2026-08-01 01:04:02,3842,U0025,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1076,Angela Lopez,235,2026-08-01 07:06:26,25586,U0051,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1077,Megan Young,316,2026-08-01 05:11:34,18694,U0045,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1078,Steve Sanchez,197,2026-08-01 02:49:04,10144,U0019,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1079,Lisa Barnes,396,2026-08-01 01:03:52,3832,U0048,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1080,Kelly Donovan,260,2026-08-01 13:36:59,49019,U0004,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1081,Mike Allen,344,2026-08-01 10:38:04,38284,U0033,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1082,Michael Evans,360,2026-08-01 01:02:07,3727,U0006,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1083,Paul Jones,404,2026-08-01 01:14:50,4490,U0005,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1084,Zachary Ferrell,161,2026-08-01 07:21:01,26461,U0057,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1085,Daniel Baker,404,2026-08-01 10:32:20,37940,U0003,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1086,Shirley Suarez,436,2026-08-01 07:37:54,27474,U0038,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1087,Christopher Bass,204,2026-08-01 04:44:49,17089,U0043,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1088,Lisa Archer,235,2026-08-01 04:20:42,15642,U0026,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1089,Aimee Montoya,430,2026-08-01 12:13:39,44019,U0020,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1090,Matthew Mcmillan,137,2026-08-01 05:45:20,20720,U0001,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1091,Brian Rodriguez,388,2026-08-01 11:18:28,40708,U0007,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1092,Denise Jacobs,209,2026-08-01 09:47:14,35234,U0033,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1093,Christina Walters,278,2026-08-01 02:24:40,8680,U0057,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1094,John Whitehead,289,2026-08-01 04:26:49,16009,U0019,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1095,Anna Henderson,378,2026-08-01 07:58:36,28716,U0046,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1096,Aaron Wise,434,2026-08-01 11:08:06,40086,U0034,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1097,Deborah Figueroa,383,2026-08-01 12:09:29,43769,U0020,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1098,Jessica Smith,235,2026-08-01 02:26:40,8800,U0008,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1099,Stephen Mckee,383,2026-08-01 13:30:55,48655,U0010,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1100,Sandra Aguilar,409,2026-08-01 05:07:45,18465,U0014,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1101,Cameron Parker,424,2026-08-01 03:42:22,13342,U0055,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1102,Rebecca Valencia,350,2026-08-01 09:12:02,33122,U0017,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1103,Christine Wright,424,2026-08-01 01:40:48,6048,U0028,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1104,Richard Henson,101,2026-08-01 00:48:09,2889,U0022,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1105,Marc Moore,234,2026-08-01 11:35:53,41753,U0011,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1106,Sharon Cherry,318,2026-08-01 10:02:34,36154,U0036,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1107,Sierra Johnson,138,2026-08-01 02:02:11,7331,U0057,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1108,Evelyn Galvan,118,2026-08-01 09:55:55,35755,U0054,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1109,Sharon Cochran,382,2026-08-01 10:36:15,38175,U0010,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1110,Richard Rodriguez,121,2026-08-01 02:19:12,8352,U0020,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1111,Shannon Walker,283,2026-08-01 00:43:34,2614,U0014,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1112,Julia Torres,152,2026-08-01 12:08:28,43708,U0023,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1113,Crystal Johnson,179,2026-08-01 11:17:55,40675,U0016,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1114,Garrett Lin,311,2026-08-01 03:13:23,11603,U0002,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1115,Diana May,270,2026-08-01 13:24:31,48271,U0051,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1116,William Herrera,227,2026-08-01 12:11:43,43903,U0018,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1117,Ashley Waller,155,2026-08-01 12:45:58,45958,U0025,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1118,Victor Baker,213,2026-08-01 08:34:07,30847,U0013,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1119,Jeffrey Chandler,256,2026-08-01 06:21:55,22915,U0053,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1120,Larry Dixon,112,2026-08-01 04:03:29,14609,U0043,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1121,Kenneth Scott,268,2026-08-01 07:15:13,26113,U0018,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1122,April Frost,279,2026-08-01 05:04:52,18292,U0042,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1123,Michelle Harmon,374,2026-08-01 12:22:12,44532,U0022,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1124,Helen Jones,233,2026-08-01 02:05:59,7559,U0012,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1125,Erin Edwards,155,2026-08-01 00:41:47,2507,U0039,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1126,Michelle Evans,260,2026-08-01 06:17:34,22654,U0028,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1127,Jason Powell,395,2026-08-01 07:00:44,25244,U0013,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1128,Cameron Fisher,323,2026-08-01 00:48:28,2908,U0001,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1129,Megan Orr,320,2026-08-01 06:37:49,23869,U0005,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1130,Elizabeth Kelley,260,2026-08-01 11:20:39,40839,U0043,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1131,Dustin Jordan,253,2026-08-01 13:06:09,47169,U0033,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1132,Mary Marshall,309,2026-08-01 12:08:25,43705,U0021,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1133,Daniel Kennedy,251,2026-08-01 12:41:32,45692,U0036,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1134,Rebecca Jackson,315,2026-08-01 03:29:32,12572,U0043,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1135,Jose Schultz,189,2026-08-01 12:19:48,44388,U0040,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1136,Robert Potter,380,2026-08-01 07:23:32,26612,U0054,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1137,Courtney Gonzalez,246,2026-08-01 05:31:54,19914,U0014,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1138,David Alvarez,410,2026-08-01 10:33:29,38009,U0042,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1139,Angel Perry,326,2026-08-01 08:27:53,30473,U0029,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1140,Cheyenne Horton,342,2026-08-01 09:18:20,33500,U0051,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1141,David Douglas Jr.,143,2026-08-01 11:59:38,43178,U0019,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1142,Patricia Rodriguez,220,2026-08-01 01:42:00,6120,U0044,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1143,Christopher Rubio,201,2026-08-01 04:05:22,14722,U0010,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1144,Amber Wright,225,2026-08-01 00:50:28,3028,U0031,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1145,Joyce Solis,312,2026-08-01 08:17:26,29846,U0057,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1146,Victoria Larson,296,2026-08-01 13:04:37,47077,U0032,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1147,Stephanie Salazar,175,2026-08-01 04:26:29,15989,U0042,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1148,Kathy Rivas,154,2026-08-01 13:40:15,49215,U0050,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1149,Stephanie Manning,190,2026-08-01 03:59:01,14341,U0052,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1150,David Wright,385,2026-08-01 00:54:51,3291,U0016,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1151,Pamela Boyd,168,2026-08-01 08:18:34,29914,U0052,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1152,Denise Jones,371,2026-08-01 12:09:10,43750,U0036,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1153,Devon Flores,326,2026-08-01 13:44:56,49496,U0040,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1154,Brenda Hall,328,2026-08-01 09:58:25,35905,U0058,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1155,Michelle Brown,343,2026-08-01 13:32:16,48736,U0029,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1156,Joshua Perry,226,2026-08-01 13:41:08,49268,U0054,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1157,Jason Stein,348,2026-08-01 09:29:23,34163,U0041,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1158,Melissa Gates,325,2026-08-01 04:59:56,17996,U0005,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1159,Jamie Smith,239,2026-08-01 04:16:07,15367,U0022,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1160,Paul Castaneda,141,2026-08-01 09:49:59,35399,U0009,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1161,Jennifer Adkins,296,2026-08-01 04:12:35,15155,U0045,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1162,Lindsey Walker,209,2026-08-01 12:51:35,46295,U0005,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1163,Jeffrey Johnson,269,2026-08-01 07:25:12,26712,U0035,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1164,Michael Powell,131,2026-08-01 07:34:08,27248,U0014,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1165,John Anderson,399,2026-08-01 07:05:24,25524,U0045,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1166,Alyssa Long,294,2026-08-01 10:28:48,37728,U0031,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1167,Alyssa Day,252,2026-08-01 06:24:12,23052,U0049,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1168,Joel Williams,375,2026-08-01 07:37:40,27460,U0048,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1169,Daniel Murphy,212,2026-08-01 08:53:16,31996,U0018,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1170,Jamie Walton,114,2026-08-01 08:50:27,31827,U0025,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1171,Darlene Miller,447,2026-08-01 12:10:35,43835,U0052,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1172,Joshua Cooke,184,2026-08-01 13:10:59,47459,U0054,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1173,Matthew Harrington,418,2026-08-01 02:19:24,8364,U0035,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1174,Nicole Herring,403,2026-08-01 07:10:22,25822,U0037,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1175,Alex Hernandez,429,2026-08-01 01:31:41,5501,U0028,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1176,Michael Elliott,193,2026-08-01 08:24:17,30257,U0004,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1177,Michael Wang,267,2026-08-01 06:54:04,24844,U0014,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1178,Lawrence Adkins,272,2026-08-01 05:57:00,21420,U0049,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1179,Robert Oconnell,315,2026-08-01 05:03:55,18235,U0017,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1180,Alexander Collins,109,2026-08-01 08:33:42,30822,U0048,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1181,Tina Sanders,214,2026-08-01 06:22:15,22935,U0042,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1182,Angela Vaughn,120,2026-08-01 11:51:53,42713,U0049,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1183,Ashley Barton,202,2026-08-01 04:30:05,16205,U0054,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1184,Lindsay Martinez,178,2026-08-01 11:18:39,40719,U0016,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1185,Dr. Hannah Patterson,442,2026-08-01 08:37:15,31035,U0008,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1186,Jonathan Peterson,231,2026-08-01 08:27:56,30476,U0050,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1187,Samantha Garcia,410,2026-08-01 03:03:16,10996,U0039,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1188,Madison Poole,259,2026-08-01 02:58:52,10732,U0007,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1189,Jessica Gross,394,2026-08-01 05:40:44,20444,U0044,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1190,Debra Morton,201,2026-08-01 07:13:15,25995,U0005,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1191,Karen Graham,254,2026-08-01 01:51:18,6678,U0055,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1192,Debra Christian,121,2026-08-01 10:18:08,37088,U0023,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1193,Angelica Keith,289,2026-08-01 12:02:33,43353,U0005,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1194,John Bishop,315,2026-08-01 00:13:49,829,U0053,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1195,Allen Rosales,321,2026-08-01 01:55:16,6916,U0024,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1196,Daniel Salinas,178,2026-08-01 12:52:34,46354,U0028,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1197,Spencer Haynes,367,2026-08-01 13:21:30,48090,U0042,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1198,Adam Vaughan,375,2026-08-01 11:12:44,40364,U0050,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1199,Nathan Freeman,323,2026-08-01 08:27:45,30465,U0053,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1200,Melissa Brewer,225,2026-08-01 05:52:02,21122,U0054,checkin,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1201,Ricky Davis II,330,2026-08-01 05:04:39,18279,U0016,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1202,Elizabeth Perkins,412,2026-08-01 10:22:25,37345,U0043,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1203,Joseph Coleman,114,2026-08-01 06:07:26,22046,U0032,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1204,Erin Warner,349,2026-08-01 03:18:37,11917,U0014,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1205,David Martinez,274,2026-08-01 04:42:11,16931,U0018,folio_update,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1206,Bryan Herrera,105,2026-08-01 10:07:04,36424,U0034,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1207,Cathy Robinson,223,2026-08-01 01:33:30,5610,U0047,key_reissue,False,False,T1566.001,Hospitality Sector Initial Access Vector
R1208,Dr. William Warren,384,2026-08-01 08:53:39,32019,U0049,checkout,False,False,T1566.001,Hospitality Sector Initial Access Vector
