reservation_id,guest_name,room_number,event_time,sim_time,staff_id,action,staff_flagged_anomalous,in_attack_window
R1076,Angela Lopez,304,2026-08-01 11:11:02,40262,U0013,folio_update,False,False
R1077,Megan Young,169,2026-08-01 05:22:52,19372,U0002,checkout,False,False
R1078,Steve Sanchez,215,2026-08-01 01:25:45,5145,U0010,key_reissue,False,False
R1079,Lisa Barnes,163,2026-08-01 02:37:28,9448,U0022,checkin,False,False
R1080,Kelly Donovan,250,2026-08-01 13:10:49,47449,U0048,checkout,False,False
R1081,Mike Allen,168,2026-08-01 08:01:28,28888,U0043,checkout,False,False
R1082,Michael Evans,228,2026-08-01 01:00:52,3652,U0033,folio_update,False,False
R1083,Paul Jones,200,2026-08-01 10:12:07,36727,U0018,checkin,False,False
R1084,Zachary Ferrell,216,2026-08-01 13:22:56,48176,U0012,key_reissue,False,False
R1085,Daniel Baker,384,2026-08-01 07:23:12,26592,U0001,key_reissue,False,False
R1086,Shirley Suarez,296,2026-08-01 10:32:13,37933,U0048,key_reissue,False,False
R1087,Christopher Bass,325,2026-08-01 02:29:20,8960,U0051,checkout,False,False
R1088,Lisa Archer,101,2026-08-01 00:27:26,1646,U0007,key_reissue,True,False
R1089,Aimee Montoya,112,2026-08-01 13:36:54,49014,U0037,key_reissue,False,False
R1090,Matthew Mcmillan,321,2026-08-01 13:08:19,47299,U0009,key_reissue,False,False
R1091,Brian Rodriguez,196,2026-08-01 11:04:36,39876,U0009,checkin,False,False
R1092,Denise Jacobs,326,2026-08-01 06:10:11,22211,U0001,checkin,False,False
R1093,Christina Walters,210,2026-08-01 09:13:26,33206,U0013,checkin,False,False
R1094,John Whitehead,177,2026-08-01 10:50:13,39013,U0052,folio_update,False,False
R1095,Anna Henderson,173,2026-08-01 03:36:10,12970,U0058,checkout,False,False
R1096,Aaron Wise,439,2026-08-01 04:30:56,16256,U0047,checkout,False,False
R1097,Deborah Figueroa,349,2026-08-01 04:08:11,14891,U0036,checkin,False,False
R1098,Jessica Smith,446,2026-08-01 12:23:35,44615,U0006,checkin,False,False
R1099,Stephen Mckee,117,2026-08-01 13:36:22,48982,U0034,checkin,False,False
R1100,Sandra Aguilar,241,2026-08-01 12:30:37,45037,U0058,folio_update,False,False
R1101,Cameron Parker,218,2026-08-01 00:22:38,1358,U0021,checkin,False,False
R1102,Rebecca Valencia,113,2026-08-01 13:02:01,46921,U0041,checkin,False,False
R1103,Christine Wright,447,2026-08-01 09:53:36,35616,U0024,key_reissue,False,False
R1104,Richard Henson,408,2026-08-01 02:10:17,7817,U0053,checkout,False,False
R1105,Marc Moore,377,2026-08-01 04:05:14,14714,U0026,folio_update,False,False
R1106,Sharon Cherry,299,2026-08-01 12:56:23,46583,U0045,checkin,True,False
R1107,Sierra Johnson,142,2026-08-01 04:51:58,17518,U0015,folio_update,False,False
R1108,Evelyn Galvan,130,2026-08-01 02:38:57,9537,U0047,checkout,False,False
R1109,Sharon Cochran,395,2026-08-01 05:51:56,21116,U0046,checkin,False,False
R1110,Richard Rodriguez,448,2026-08-01 10:13:05,36785,U0055,key_reissue,False,False
R1111,Shannon Walker,406,2026-08-01 09:54:29,35669,U0001,checkout,False,False
R1112,Julia Torres,231,2026-08-01 12:15:59,44159,U0008,checkin,False,False
R1113,Crystal Johnson,427,2026-08-01 10:17:48,37068,U0006,checkin,False,False
R1114,Garrett Lin,388,2026-08-01 13:24:29,48269,U0003,folio_update,False,False
R1115,Diana May,410,2026-08-01 06:11:27,22287,U0052,folio_update,False,False
R1116,William Herrera,389,2026-08-01 05:21:08,19268,U0057,key_reissue,False,False
R1117,Ashley Waller,404,2026-08-01 12:22:11,44531,U0005,checkin,False,False
R1118,Victor Baker,442,2026-08-01 09:50:50,35450,U0014,folio_update,False,False
R1119,Jeffrey Chandler,317,2026-08-01 09:54:43,35683,U0031,checkout,False,False
R1120,Larry Dixon,193,2026-08-01 12:00:20,43220,U0044,key_reissue,False,False
R1121,Kenneth Scott,424,2026-08-01 02:14:22,8062,U0042,checkin,False,False
R1122,April Frost,424,2026-08-01 00:35:16,2116,U0052,checkin,False,False
R1123,Michelle Harmon,102,2026-08-01 06:45:49,24349,U0006,folio_update,False,False
R1124,Helen Jones,158,2026-08-01 02:20:26,8426,U0020,checkout,True,False
R1125,Erin Edwards,267,2026-08-01 12:25:30,44730,U0038,folio_update,False,False
R1126,Michelle Evans,419,2026-08-01 05:33:57,20037,U0033,folio_update,False,False
R1127,Jason Powell,205,2026-08-01 08:49:16,31756,U0044,key_reissue,False,False
R1128,Cameron Fisher,315,2026-08-01 01:47:27,6447,U0002,checkout,False,False
R1129,Megan Orr,303,2026-08-01 00:22:31,1351,U0033,checkin,False,False
R1130,Elizabeth Kelley,130,2026-08-01 13:43:00,49380,U0045,checkin,True,False
R1131,Dustin Jordan,207,2026-08-01 02:27:37,8857,U0046,checkin,False,False
R1132,Mary Marshall,268,2026-08-01 04:30:27,16227,U0046,key_reissue,False,False
R1133,Daniel Kennedy,263,2026-08-01 06:24:33,23073,U0059,checkin,False,False
R1134,Rebecca Jackson,231,2026-08-01 13:35:07,48907,U0011,key_reissue,False,False
R1135,Jose Schultz,355,2026-08-01 11:04:46,39886,U0035,folio_update,False,False
R1136,Robert Potter,318,2026-08-01 00:33:22,2002,U0052,checkin,False,False
R1137,Courtney Gonzalez,200,2026-08-01 13:46:23,49583,U0059,folio_update,False,False
R1138,David Alvarez,191,2026-08-01 03:03:19,10999,U0044,checkin,False,False
R1139,Angel Perry,148,2026-08-01 04:43:47,17027,U0038,folio_update,False,False
R1140,Cheyenne Horton,390,2026-08-01 03:15:20,11720,U0038,checkin,False,False
R1141,David Douglas Jr.,310,2026-08-01 07:14:46,26086,U0038,checkin,False,False
R1142,Patricia Rodriguez,299,2026-08-01 09:20:54,33654,U0002,checkout,False,False
R1143,Christopher Rubio,368,2026-08-01 01:19:38,4778,U0028,key_reissue,True,False
R1144,Amber Wright,133,2026-08-01 04:19:18,15558,U0016,checkout,False,False
R1145,Joyce Solis,448,2026-08-01 13:07:24,47244,U0057,key_reissue,False,False
R1146,Victoria Larson,130,2026-08-01 03:14:09,11649,U0022,checkin,False,False
R1147,Stephanie Salazar,434,2026-08-01 13:39:53,49193,U0034,key_reissue,False,False
R1148,Kathy Rivas,212,2026-08-01 01:32:40,5560,U0036,checkout,False,False
R1149,Stephanie Manning,241,2026-08-01 08:07:19,29239,U0012,key_reissue,False,False
R1150,David Wright,233,2026-08-01 09:42:30,34950,U0056,checkin,False,False
R1151,Pamela Boyd,369,2026-08-01 12:12:54,43974,U0053,checkin,False,False
R1152,Denise Jones,399,2026-08-01 01:37:34,5854,U0051,checkin,False,False
R1153,Devon Flores,142,2026-08-01 04:02:55,14575,U0009,folio_update,False,False
R1154,Brenda Hall,145,2026-08-01 13:00:43,46843,U0001,key_reissue,False,False
R1155,Michelle Brown,185,2026-08-01 02:17:45,8265,U0032,checkout,False,False
R1156,Joshua Perry,387,2026-08-01 06:17:11,22631,U0015,checkout,False,False
R1157,Jason Stein,420,2026-08-01 04:21:00,15660,U0030,folio_update,False,False
R1158,Melissa Gates,300,2026-08-01 02:43:42,9822,U0045,key_reissue,True,False
R1159,Jamie Smith,272,2026-08-01 04:10:39,15039,U0057,checkout,False,False
R1160,Paul Castaneda,110,2026-08-01 06:48:57,24537,U0010,checkin,False,False
R1161,Jennifer Adkins,187,2026-08-01 00:50:04,3004,U0004,checkin,False,False
R1162,Lindsey Walker,355,2026-08-01 13:49:33,49773,U0013,key_reissue,False,False
R1163,Jeffrey Johnson,145,2026-08-01 08:18:58,29938,U0008,checkin,False,False
R1164,Michael Powell,194,2026-08-01 05:16:00,18960,U0002,key_reissue,False,False
R1165,John Anderson,375,2026-08-01 11:35:31,41731,U0039,folio_update,False,False
R1166,Alyssa Long,306,2026-08-01 02:33:25,9205,U0051,key_reissue,False,False
R1167,Alyssa Day,353,2026-08-01 07:18:06,26286,U0002,checkout,False,False
R1168,Joel Williams,335,2026-08-01 00:57:17,3437,U0014,checkout,False,False
R1169,Daniel Murphy,108,2026-08-01 07:14:21,26061,U0049,checkin,True,False
R1170,Jamie Walton,154,2026-08-01 03:04:19,11059,U0044,checkout,False,False
R1171,Darlene Miller,376,2026-08-01 01:57:09,7029,U0031,key_reissue,False,False
R1172,Joshua Cooke,308,2026-08-01 09:15:35,33335,U0055,checkout,False,False
R1173,Matthew Harrington,260,2026-08-01 07:37:56,27476,U0015,checkout,False,False
R1174,Nicole Herring,188,2026-08-01 06:47:43,24463,U0009,checkin,False,False
R1175,Alex Hernandez,382,2026-08-01 02:18:55,8335,U0004,checkin,False,False
R1176,Michael Elliott,417,2026-08-01 10:16:36,36996,U0007,key_reissue,True,False
R1177,Michael Wang,360,2026-08-01 03:46:56,13616,U0052,folio_update,False,False
R1178,Lawrence Adkins,326,2026-08-01 06:13:52,22432,U0033,folio_update,False,False
R1179,Robert Oconnell,437,2026-08-01 00:23:32,1412,U0033,checkout,False,False
R1180,Alexander Collins,227,2026-08-01 10:41:39,38499,U0006,folio_update,False,False
R1181,Tina Sanders,170,2026-08-01 12:58:28,46708,U0048,folio_update,False,False
R1182,Angela Vaughn,422,2026-08-01 11:17:04,40624,U0035,checkin,False,False
R1183,Ashley Barton,274,2026-08-01 11:45:03,42303,U0005,folio_update,False,False
R1184,Lindsay Martinez,412,2026-08-01 13:50:11,49811,U0030,checkout,False,False
R1185,Dr. Hannah Patterson,100,2026-08-01 05:30:05,19805,U0058,checkin,False,False
R1186,Jonathan Peterson,398,2026-08-01 12:00:30,43230,U0020,checkin,True,False
R1187,Samantha Garcia,432,2026-08-01 10:35:40,38140,U0053,checkout,False,False
R1188,Madison Poole,407,2026-08-01 05:32:10,19930,U0002,folio_update,False,False
R1189,Jessica Gross,203,2026-08-01 12:59:26,46766,U0008,folio_update,False,False
R1190,Debra Morton,193,2026-08-01 09:30:05,34205,U0023,checkout,False,False
R1191,Karen Graham,425,2026-08-01 06:43:13,24193,U0029,checkout,False,False
R1192,Debra Christian,268,2026-08-01 05:49:57,20997,U0043,key_reissue,False,False
R1193,Angelica Keith,147,2026-08-01 11:20:10,40810,U0012,key_reissue,False,False
R1194,John Bishop,309,2026-08-01 04:01:57,14517,U0053,key_reissue,False,False
R1195,Allen Rosales,320,2026-08-01 01:43:30,6210,U0046,checkout,False,False
R1196,Daniel Salinas,450,2026-08-01 11:42:09,42129,U0003,folio_update,False,False
R1197,Spencer Haynes,357,2026-08-01 03:28:36,12516,U0045,checkin,True,False
R1198,Adam Vaughan,166,2026-08-01 09:43:15,34995,U0002,checkin,False,False
R1199,Nathan Freeman,449,2026-08-01 00:38:40,2320,U0049,checkin,True,False
R1200,Melissa Brewer,338,2026-08-01 02:01:45,7305,U0006,checkout,False,False
R1201,Ricky Davis II,362,2026-08-01 06:42:27,24147,U0002,checkout,False,False
R1202,Elizabeth Perkins,248,2026-08-01 02:57:06,10626,U0006,folio_update,False,False
R1203,Joseph Coleman,225,2026-08-01 00:23:14,1394,U0022,checkin,False,False
R1204,Erin Warner,267,2026-08-01 05:30:43,19843,U0015,key_reissue,False,False
R1205,David Martinez,294,2026-08-01 03:46:07,13567,U0019,checkout,True,False
R1206,Bryan Herrera,364,2026-08-01 05:23:00,19380,U0025,key_reissue,False,False
R1207,Cathy Robinson,143,2026-08-01 11:30:47,41447,U0003,key_reissue,False,False
R1208,Dr. William Warren,214,2026-08-01 02:02:29,7349,U0022,key_reissue,False,False
R1209,Brian Lee,317,2026-08-01 08:23:47,30227,U0002,checkout,False,False
R1210,Christopher Smith,436,2026-08-01 02:09:34,7774,U0054,key_reissue,False,False
R1211,Denise Mccann,163,2026-08-01 04:31:33,16293,U0018,key_reissue,False,False
R1212,Melissa Martinez,307,2026-08-01 03:19:16,11956,U0001,key_reissue,False,False
R1213,Katherine Salas,406,2026-08-01 06:20:25,22825,U0001,checkout,False,False
R1214,Julie Alexander,335,2026-08-01 00:58:13,3493,U0051,folio_update,False,False
R1215,Anthony Everett,163,2026-08-01 09:58:36,35916,U0002,checkin,False,False
R1216,Rodney Morales,341,2026-08-01 05:17:44,19064,U0003,folio_update,False,False
R1217,Mark Brown,101,2026-08-01 10:16:36,36996,U0003,folio_update,False,False
R1218,Justin Torres,175,2026-08-01 12:17:03,44223,U0043,checkin,False,False
R1219,Bailey Duran DDS,188,2026-08-01 06:25:44,23144,U0002,checkin,False,False
R1220,Courtney Mills,128,2026-08-01 04:39:18,16758,U0005,checkin,False,False
R1221,Jeremy Dalton,202,2026-08-01 09:59:36,35976,U0048,key_reissue,False,False
R1222,Elizabeth Oliver DDS,189,2026-08-01 13:16:20,47780,U0058,key_reissue,False,False
R1223,Theresa Clark,348,2026-08-01 07:13:49,26029,U0014,checkin,False,False
R1224,Matthew Moore,144,2026-08-01 09:17:37,33457,U0016,key_reissue,False,False
R1225,Benjamin Smith,154,2026-08-01 08:22:19,30139,U0055,checkin,False,True
R1226,Kirk Carter,354,2026-08-01 04:47:53,17273,U0036,folio_update,False,False
R1227,Michael Warner,240,2026-08-01 08:15:20,29720,U0041,folio_update,False,False
R1228,Michael Bradshaw,386,2026-08-01 12:34:56,45296,U0049,key_reissue,True,False
R1229,Lori Guerrero,154,2026-08-01 00:52:07,3127,U0007,checkout,True,False
R1230,Jessica Stephens,363,2026-08-01 11:25:39,41139,U0021,key_reissue,False,False
R1231,Susan Serrano,267,2026-08-01 07:38:29,27509,U0026,checkout,False,False
R1232,Christopher Parker,343,2026-08-01 11:24:31,41071,U0047,checkout,False,False
R1233,Laura Roberts,171,2026-08-01 01:44:06,6246,U0020,folio_update,True,False
R1234,Michael Lyons,181,2026-08-01 06:29:37,23377,U0007,checkin,True,False
R1235,Kathryn Snyder,132,2026-08-01 00:21:55,1315,U0007,checkin,True,False
R1236,Andrew Reynolds,104,2026-08-01 07:21:09,26469,U0003,key_reissue,False,False
R1237,David Davis,195,2026-08-01 03:22:33,12153,U0002,checkout,False,False
R1238,Sara Johnston,409,2026-08-01 09:33:12,34392,U0001,key_reissue,False,False
R1239,Yvonne Chambers,234,2026-08-01 02:28:18,8898,U0027,key_reissue,False,False
R1240,Andrew Avila,397,2026-08-01 00:53:47,3227,U0028,checkout,True,False
R1241,Matthew Moon,274,2026-08-01 12:32:35,45155,U0008,folio_update,False,False
R1242,Kevin Walters,270,2026-08-01 11:49:59,42599,U0013,folio_update,False,False
R1243,Brandon Bailey MD,279,2026-08-01 03:53:04,13984,U0004,folio_update,False,False
R1244,Shannon Rivera,126,2026-08-01 10:15:12,36912,U0023,folio_update,False,False
R1245,Donna Landry,137,2026-08-01 10:19:43,37183,U0012,key_reissue,False,False
R1246,Krista Gibson,261,2026-08-01 06:26:08,23168,U0012,checkout,False,False
R1247,Frank Cordova,332,2026-08-01 01:29:47,5387,U0056,checkout,False,False
R1248,Jose Travis,240,2026-08-01 06:30:03,23403,U0014,checkin,False,False
R1249,Kimberly Gutierrez,414,2026-08-01 03:39:31,13171,U0018,key_reissue,False,False
R1250,Isaiah Avila,164,2026-08-01 01:48:24,6504,U0039,folio_update,False,False
R1251,Olivia Harris,298,2026-08-01 07:57:39,28659,U0017,checkout,False,False
R1252,Tanya Kim,117,2026-08-01 11:16:39,40599,U0048,key_reissue,False,False
R1253,Barbara Dudley,314,2026-08-01 12:16:17,44177,U0049,folio_update,True,False
R1254,Cynthia Moore,195,2026-08-01 09:35:53,34553,U0048,key_reissue,False,False
R1255,Kristen Davis,327,2026-08-01 08:13:21,29601,U0028,checkout,True,False
R1256,Susan Murray MD,330,2026-08-01 11:27:54,41274,U0027,checkout,False,False
R1257,Kathleen Moran,174,2026-08-01 12:18:07,44287,U0011,folio_update,False,False
R1258,Denise Davenport,349,2026-08-01 00:53:56,3236,U0003,checkout,False,False
R1259,Mrs. Kristen Reyes,186,2026-08-01 05:20:14,19214,U0008,checkout,False,False
R1260,Katie Suarez,169,2026-08-01 11:31:44,41504,U0035,checkin,False,False
R1261,Desiree Tyler,345,2026-08-01 10:05:09,36309,U0004,checkin,False,False
R1262,Timothy Romero,116,2026-08-01 06:30:35,23435,U0034,key_reissue,False,False
R1263,Diane Evans,230,2026-08-01 04:20:28,15628,U0047,folio_update,False,False
R1264,Yvonne Burns,162,2026-08-01 13:48:58,49738,U0023,key_reissue,False,False
R1265,Joshua Reed,425,2026-08-01 13:26:07,48367,U0024,checkin,False,False
R1266,Kimberly Gibson,390,2026-08-01 09:52:37,35557,U0004,checkin,False,False
R1267,Colin Terry,145,2026-08-01 08:06:27,29187,U0032,key_reissue,False,False
R1268,Cynthia Rowe,102,2026-08-01 04:15:00,15300,U0058,key_reissue,False,False
R1269,Patrick Thornton,226,2026-08-01 05:44:54,20694,U0003,folio_update,False,False
R1270,Jasmin Alvarado,350,2026-08-01 01:42:02,6122,U0005,checkin,False,False
R1271,Veronica Simpson,435,2026-08-01 10:17:41,37061,U0006,key_reissue,False,False
R1272,Jonathan Lawrence,390,2026-08-01 02:54:50,10490,U0019,checkin,True,False
R1273,Shelly Alexander,129,2026-08-01 12:28:26,44906,U0012,checkin,False,False
R1274,Joyce Bowen,117,2026-08-01 01:13:01,4381,U0012,folio_update,False,False
R1275,Matthew Moore,316,2026-08-01 12:56:16,46576,U0011,checkout,False,False
R1276,Wayne Morgan,236,2026-08-01 13:38:03,49083,U0023,checkin,False,False
R1277,Marie Christian,237,2026-08-01 07:12:46,25966,U0035,key_reissue,False,False
R1278,Shannon James,212,2026-08-01 12:26:04,44764,U0034,checkout,False,False
R1279,Nathan Malone,183,2026-08-01 06:48:54,24534,U0041,key_reissue,False,False
R1280,Amanda Jones,126,2026-08-01 00:38:02,2282,U0016,checkin,False,False
R1281,Tammie Bright,273,2026-08-01 06:44:44,24284,U0016,checkin,False,False
R1282,Jessica Garcia,114,2026-08-01 08:42:22,31342,U0043,key_reissue,False,False
R1283,Shelia Wallace,194,2026-08-01 02:52:28,10348,U0012,key_reissue,False,False
R1284,Stephanie Williams,123,2026-08-01 01:07:17,4037,U0021,key_reissue,False,False
R1285,Elaine Brooks,356,2026-08-01 13:16:14,47774,U0005,checkout,False,False
R1286,Joseph Knight,302,2026-08-01 09:37:27,34647,U0053,checkout,False,False
R1287,Carolyn Miller,259,2026-08-01 01:53:30,6810,U0013,checkout,False,False
R1288,Lisa Allen,251,2026-08-01 12:22:59,44579,U0016,checkout,False,False
R1289,Briana Murray,441,2026-08-01 00:34:27,2067,U0033,key_reissue,False,False
R1290,David Smith,134,2026-08-01 02:35:41,9341,U0033,checkin,False,False
R1291,Stephanie Byrd,394,2026-08-01 05:35:02,20102,U0053,folio_update,False,False
R1292,Jeremy Reed,441,2026-08-01 08:03:10,28990,U0054,checkin,False,False
R1293,Margaret Coleman,449,2026-08-01 09:44:12,35052,U0045,checkin,True,False
R1294,Ryan Gonzalez,332,2026-08-01 11:34:23,41663,U0043,checkout,False,False
R1295,John Young,307,2026-08-01 00:08:41,521,U0049,checkin,True,False
R1296,Laura Haney,405,2026-08-01 04:55:01,17701,U0058,checkout,False,False
R1297,William Barrett,168,2026-08-01 06:05:49,21949,U0015,key_reissue,False,False
R1298,Keith Jennings,124,2026-08-01 13:40:23,49223,U0017,folio_update,False,False
R1299,Amber Obrien,223,2026-08-01 00:47:32,2852,U0031,checkin,False,False
R9000,Tanner Mitchell DDS,145,2026-08-01 08:20:10,30010,U0007,folio_update,True,True
R9001,Heather Fields,229,2026-08-01 08:21:23,30083,U0007,folio_update,True,True
R9002,Megan Le,279,2026-08-01 08:20:36,30036,U0007,folio_update,True,True
R9003,Sara Fuller,112,2026-08-01 08:20:41,30041,U0007,folio_update,True,True
R9004,Maria Parker,231,2026-08-01 08:23:11,30191,U0007,folio_update,True,True
R9005,Kevin Oconnor,319,2026-08-01 08:23:04,30184,U0007,folio_update,True,True
